ID,City,Weekday,Severity,Highway,Daylight
88032,SANTA CLARA,4,0,0,0
88276,SANTA CLARA,1,0,0,0
88476,SANTA CLARA,5,0,0,1
88572,SANTA CLARA,7,1,0,0
88785,SANTA CLARA,7,0,0,1
89196,SANTA CLARA,3,0,0,0
89526,SANTA CLARA,1,0,0,0
90301,SANTA CLARA,5,0,0,0
90320,SANTA CLARA,5,0,0,0
90344,SANTA CLARA,4,1,0,1
90592,SANTA CLARA,1,0,1,1
90802,SANTA CLARA,2,0,0,1
91009,SANTA CLARA,4,0,0,0
91507,SANTA CLARA,7,0,0,0
93695,SANTA CLARA,2,0,0,0
94319,SANTA CLARA,5,0,1,0
94335,SANTA CLARA,5,0,0,1
94350,SANTA CLARA,7,0,0,0
94409,SANTA CLARA,1,0,0,1
94431,SANTA CLARA,1,0,1,0
94784,SANTA CLARA,7,1,0,0
96000,SANTA CLARA,5,0,0,1
96001,SANTA CLARA,6,1,0,1
97116,SANTA CLARA,4,0,0,1
98760,SANTA CLARA,2,0,1,0
99526,SANTA CLARA,6,0,0,0
100992,SANTA CLARA,5,0,0,0
102054,SANTA CLARA,6,0,0,1
102163,SANTA CLARA,1,1,0,1
103213,SANTA CLARA,4,0,0,1
103432,SANTA CLARA,3,0,1,1
103849,SANTA CLARA,4,0,0,1
103853,SANTA CLARA,7,0,0,1
104243,SANTA CLARA,5,0,0,0
104596,SANTA CLARA,7,0,0,0
105645,SANTA CLARA,2,0,0,1
106105,SANTA CLARA,3,0,0,1
106449,SANTA CLARA,3,0,0,0
106450,SANTA CLARA,4,0,0,1
106650,SANTA CLARA,3,0,0,0
106828,SANTA CLARA,5,0,0,1
106831,SANTA CLARA,2,1,0,1
106833,SANTA CLARA,3,0,0,1
107656,SANTA CLARA,5,0,0,0
107657,SANTA CLARA,6,0,0,0
107959,SANTA CLARA,3,0,0,1
108905,SANTA CLARA,4,0,1,1
109135,SANTA CLARA,1,0,0,1
109467,SANTA CLARA,3,0,0,1
109469,SANTA CLARA,6,0,0,0
110236,SANTA CLARA,2,0,0,1
110407,SANTA CLARA,2,0,0,0
110620,SANTA CLARA,6,1,0,1
111307,SANTA CLARA,5,0,0,0
111438,SANTA CLARA,4,0,0,1
111748,SANTA CLARA,2,1,1,0
112127,SANTA CLARA,5,1,0,0
